Rank,Team,GP,Won,Lost,Pct.,First NBA season,Division,Notes
1,San Antonio Spurs,3867,2305,1562,.596,1976–77,Southwest ⁂,[b]
2,Boston Celtics,6114,3634,2480,.594,1946–47,Atlantic ⁂,
3,Los Angeles Lakers,6004,3550,2454,.591,1948–49,Pacific ⁂,[c]
4,Utah Jazz,4032,2177,1855,.540,1974–75,Northwest ⁂,[d]
5,Phoenix Suns,4525,2429,2096,.537,1968–69,Pacific,
6,Oklahoma City Thunder,4606,2470,2136,.536,1967–68,Northwest,[e]
7,Milwaukee Bucks,4525,2389,2136,.528,1968–69,Central ⁂,
8,Miami Heat,2885,1521,1364,.527,1988–89,Southeast ⁂,
9,Portland Trail Blazers,4362,2292,2070,.525,1970–71,Northwest,
10,Philadelphia 76ers,5941,3101,2840,.522,1949–50,Atlantic,[f]
11,Houston Rockets,4606,2369,2237,.514,1967–68,Southwest,[g]
12,Chicago Bulls,4680,2383,2297,.509,1966–67,Central,
13,Dallas Mavericks,3543,1797,1746,.507,1980–81,Southwest,
14,Denver Nuggets,3869,1954,1915,.505,1976–77,Northwest,[h]
15,Indiana Pacers,3868,1930,1938,.499,1976–77,Central,[i]
16,Atlanta Hawks,5937,2927,3010,.493,1949–50,Southeast,[j]
17,New York Knicks,6105,2974,3131,.487,1946–47,Atlantic,
18,Golden State Warriors,6103,2969,3134,.486,1946–47,Pacific,[k]
19,Toronto Raptors,2310,1096,1214,.474,1995–96,Atlantic,
20,Detroit Pistons,5998,2827,3171,.471,1948–49,Central,[l]
21,New Orleans Pelicans,1768,831,937,.470,2002–03,Southwest,[m]
22,Orlando Magic,2803,1315,1488,.469,1989–90,Southeast,
23,Cleveland Cavaliers,4353,2032,2321,.467,1970–71,Central,
24,Sacramento Kings,6005,2748,3257,.458,1948–49,Pacific,[n]
25,Washington Wizards,5087,2272,2815,.447,1961–62,Southeast,[o]
26,Charlotte Hornets,2713,1174,1539,.433,1988–89,Southeast,[m]
27,Memphis Grizzlies,2311,998,1313,.432,1995–96,Southwest,[p]
28,Brooklyn Nets,3868,1654,2214,.428,1976–77,Atlantic,[q]
29,Los Angeles Clippers,4360,1843,2517,.423,1970–71,Pacific,[r]
30,Minnesota Timberwolves,2794,1147,1647,.411,1989–90,Northwest,
This list is accurate through the end of the 2023–24 NBA season.,This list is accurate through the end of the 2023–24 NBA season.,This list is accurate through the end of the 2023–24 NBA season.,This list is accurate through the end of the 2023–24 NBA season.,This list is accurate through the end of the 2023–24 NBA season.,This list is accurate through the end of the 2023–24 NBA season.,This list is accurate through the end of the 2023–24 NBA season.,This list is accurate through the end of the 2023–24 NBA season.,This list is accurate through the end of the 2023–24 NBA season.
