Rank,Team,App.,GP,Won,Lost,Pct.,Last playoff appearance,Titles,Division,Notes
1,Los Angeles Lakers,64,782,465,317,.595,2024 ✔,17,Pacific ⁂,[s]
2,Boston Celtics,61,738,423,315,.573,2024 ★,18,Atlantic ⁂,
3,Miami Heat,25,295,163,132,.553,2024 ✔,3,Southeast ⁂,
4,Golden State Warriors,37,384,212,172,.552,2023 †,7,Pacific,
5,San Antonio Spurs,39,403,222,181,.551,2019 †,5,Southwest ⁂,[t]
6,Chicago Bulls,36,349,187,162,.536,2022 †,6,Central ⁂,
7,Cleveland Cavaliers,25,246,131,115,.533,2024 ✔,1,Central,
8,Philadelphia 76ers,54,488,250,238,.512,2024 ✔,3,Atlantic,[u]
9,Detroit Pistons,42,370,188,182,.508,2019 †,3,Central,[v]
10,Oklahoma City Thunder,33,341,170,171,.499,2024 ✔,1,Northwest ⁂,
11,New York Knicks,45,404,200,204,.495,2024 ✔,2,Atlantic,
12,Phoenix Suns,33,324,160,164,.494,2024 ✔,0,Pacific,
13,Houston Rockets,34,322,158,164,.491,2020 †,2,Southwest,
14,Milwaukee Bucks,36,312,152,160,.487,2024 ✔,2,Central,
15,Indiana Pacers,28,258,123,135,.477,2024 ✔,0,Central,[w]
16,Dallas Mavericks,25,249,118,131,.474,2024 ✔,1,Southwest,
17,Toronto Raptors,13,123,57,66,.463,2022 †,1,Atlantic,
18,Utah Jazz,31,292,135,157,.462,2022 †,0,Northwest,
19,Orlando Magic,17,140,62,78,.443,2024 ✔,0,Southeast,
20,Portland Trail Blazers,36,274,119,155,.434,2021 †,1,Northwest,
21,Denver Nuggets,30,242,105,137,.434,2024 ✔,1,Northwest,[x]
22,Los Angeles Clippers,18,153,66,87,.431,2024 ✔,0,Pacific,
23,Atlanta Hawks,49,390,168,222,.431,2023 †,1,Southeast,[y]
24,Sacramento Kings,29,194,83,111,.428,2023 †,1,Pacific,[z]
25,Washington Wizards,30,237,99,138,.418,2021 †,1,Southeast,
26,Brooklyn Nets,24,171,70,101,.409,2023 †,0,Atlantic,[aa]
27,Memphis Grizzlies,13,98,38,60,.388,2023 †,0,Southwest,
28,Minnesota Timberwolves,12,79,30,49,.380,2024 ✔,0,Northwest,
29,New Orleans Pelicans,9,59,22,37,.373,2024 ✔,0,Southwest,
30,Charlotte Hornets,10,63,23,40,.365,2016 †,0,Southeast,
This list is accurate through the end of the 2024 NBA Finals.,This list is accurate through the end of the 2024 NBA Finals.,This list is accurate through the end of the 2024 NBA Finals.,This list is accurate through the end of the 2024 NBA Finals.,This list is accurate through the end of the 2024 NBA Finals.,This list is accurate through the end of the 2024 NBA Finals.,This list is accurate through the end of the 2024 NBA Finals.,This list is accurate through the end of the 2024 NBA Finals.,This list is accurate through the end of the 2024 NBA Finals.,This list is accurate through the end of the 2024 NBA Finals.,This list is accurate through the end of the 2024 NBA Finals.
